Sampling rate 50 Hz,,,,,
Mouse 1,Mouse 1,Mouse 2,Mouse 2,Mouse 3,Mouse 3
Run1,Run1,Run1,Run1,Run1,Run1
"5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion"
465nm,405nm,465nm,405nm,465nm,405nm
1.5853076,1.1628153,1.3946092,1.2428803,1.388131,1.1386238
1.5890528,1.1603861,1.3895482,1.250067,1.3841835,1.1403445
1.5990735,1.1563373,1.3967348,1.2538122,1.3907628,1.1368018
1.5946199,1.1608921,1.3953177,1.2424755,1.3821591,1.1314372
1.6002882,1.1691922,1.396836,1.2427791,1.3945079,1.1423689
1.6013004,1.1699008,1.3934958,1.248245,1.392686,1.1323482
1.5897614,1.1639287,1.3886372,1.2425767,1.3872201,1.1358908
1.5854088,1.164941,1.4075654,1.2522938,1.3978482,1.112003
1.5787283,1.1578556,1.3974433,1.2621121,1.390864,1.1256676
1.594215,1.16403,1.4081726,1.250067,1.3677858,1.128603
1.5869272,1.154414,1.3841835,1.2562414,1.4047312,1.1399397
1.5765015,1.1669654,1.3966335,1.259278,1.3910664,1.1467214
1.5887492,1.1717228,1.3802359,1.2540146,1.4076666,1.1208091
1.5847003,1.1710142,1.3883336,1.2454109,1.4042251,1.1299188
1.5982637,1.1689898,1.3943055,1.2614037,1.3955201,1.1383201
1.583182,1.1600825,1.3975445,1.2516866,1.4076666,1.1319432
1.590976,1.1579568,1.3909652,1.2464231,1.3787177,1.1438872
1.5816637,1.1606897,1.396836,1.2554317,1.3710248,1.1198981
1.5792345,1.1601837,1.3948116,1.2569499,1.396836,1.1419641
1.5983651,1.1636251,1.3861067,1.2539134,1.3960263,1.1315384
1.5814613,1.1657507,1.3965323,1.2452084,1.3716322,1.13417
1.5738698,1.1444945,1.3918762,1.2437913,1.3915726,1.1311336
1.5734649,1.1547178,1.389447,1.2520914,1.3969373,1.1377128
1.58966,1.169091,1.4015933,1.2465243,1.4075654,1.1478348
1.5768051,1.1528958,1.3929896,1.2493584,1.4113104,1.1296152
1.5911784,1.1652447,1.3932933,1.2532048,1.3904592,1.1258701
1.5747807,1.1492519,1.3986579,1.2430828,1.4023019,1.1426725
1.5986687,1.1364982,1.3954189,1.2520914,1.3956214,1.1214163
